City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Porto Seguro,BR,-16.4497,-39.0647,77.52,73,75,9.22,broken clouds
183,Andenes,NO,69.3143,16.1194,51.78,82,20,19.57,few clouds
184,Nanortalik,GL,60.1432,-45.2371,40.15,53,1,8.16,clear sky
185,Zhigansk,RU,66.7697,123.3711,31.19,82,20,19.98,few clouds
186,Manhay,BE,50.2929,5.676,54.14,95,100,1.99,overcast clouds
187,Kovdor,RU,67.5662,30.4758,44.98,88,100,6.67,overcast clouds
188,Inndyr,NO,67.0338,14.0276,55.44,74,100,4.38,overcast clouds
189,Dharchula,IN,29.85,80.5333,67.62,85,2,4.5,clear sky
190,Pevek,RU,69.7008,170.3133,19.51,85,98,5.21,overcast clouds
191,Husavik,IS,66.0449,-17.3389,37.31,83,81,11.23,broken clouds
192,Roebourne,AU,-20.7833,117.1333,70.34,47,2,11.68,clear sky
193,Bama,NG,11.5221,13.6856,82.24,59,44,4.18,scattered clouds
194,Ramban,IN,33.25,75.25,67.19,84,0,4.07,clear sky
195,Tuatapere,NZ,-46.1333,167.6833,41.83,93,50,6.06,scattered clouds
196,Komsomolskiy,UZ,40.4272,71.7189,65.12,55,76,9.22,broken clouds
197,Bonnyville,CA,54.2668,-110.735,60.6,45,100,9.55,overcast clouds
198,Port Keats,AU,-14.25,129.55,77.94,85,100,5.01,overcast clouds
199,Leh,IN,34.1667,77.5833,56.79,38,0,4.83,clear sky
200,Narsaq,GL,60.9167,-46.05,38.21,39,0,4.45,clear sky
201,Mogadishu,SO,2.0371,45.3438,77.94,91,46,18.57,scattered clouds
202,Bluff,NZ,-46.6,168.3333,41.81,83,89,14.56,light rain
203,Green River,US,41.5286,-109.4662,73.18,29,98,5.01,overcast clouds
204,Sawtell,AU,-30.3833,153.1,60.82,80,89,10.36,overcast clouds
205,Lexington,US,37.9887,-84.4777,83.89,58,1,1.01,clear sky
206,Leshukonskoye,RU,64.8989,45.7622,41.47,94,83,2.3,broken clouds
207,Pitimbu,BR,-7.4706,-34.8086,82.99,72,9,18.01,clear sky
208,Dalby,AU,-27.1833,151.2667,56.1,93,100,8.63,moderate rain
209,Black Forest,US,39.0131,-104.7008,74.57,32,1,7.0,clear sky
210,Ilulissat,GL,69.2167,-51.1,25.14,69,0,10.58,clear sky
211,Soe,ID,-9.8607,124.284,63.27,87,15,3.89,few clouds
212,Grindavik,IS,63.8424,-22.4338,39.15,75,75,28.77,light rain
213,Lompoc,US,34.6391,-120.4579,78.1,68,75,13.0,broken clouds
214,Izumo,JP,35.3667,132.7667,73.35,91,100,4.36,overcast clouds
215,Rocha,UY,-34.4833,-54.3333,58.6,87,100,10.11,overcast clouds
216,Pierre,US,44.3683,-100.351,90.0,35,4,7.0,clear sky
217,Ken Caryl,US,39.5773,-105.1169,81.93,24,21,1.99,few clouds
218,Dunedin,NZ,-45.8742,170.5036,45.81,71,54,5.7,broken clouds
219,Solnechnyy,RU,50.7214,136.6319,48.81,90,12,6.2,few clouds
220,Saint Anthony,US,45.0205,-93.218,81.14,49,1,3.0,clear sky
221,Saint-Augustin,CA,51.226,-58.6502,58.84,60,14,18.23,few clouds
222,Paracuru,BR,-3.41,-39.0306,84.22,65,4,15.9,clear sky
223,Koutsouras,GR,35.0339,25.9469,78.12,47,0,11.56,clear sky
224,Novikovo,RU,51.1537,37.8879,45.84,79,100,10.11,overcast clouds
225,Atar,MR,20.5169,-13.0499,102.99,8,87,11.52,overcast clouds
226,Tairua,NZ,-37.0167,175.85,49.08,78,45,6.55,scattered clouds
227,Namtsy,RU,62.7161,129.6658,30.31,72,6,5.01,clear sky
228,Nalut,LY,30.3333,10.85,85.24,18,0,8.08,clear sky
229,Devarkonda,IN,16.7,78.9333,74.52,81,100,11.16,overcast clouds
230,Carnarvon,AU,-24.8667,113.6333,66.27,82,35,10.36,scattered clouds
231,Qaanaaq,GL,77.484,-69.3632,29.03,69,100,2.53,overcast clouds
232,Myitkyina,MM,25.3833,97.4,73.83,95,93,1.88,overcast clouds
233,Rybachiy,RU,48.7073,44.7449,49.86,65,100,9.91,overcast clouds
234,Bay Roberts,CA,47.5999,-53.2648,67.42,64,11,8.01,few clouds
235,Umm Lajj,SA,25.0213,37.2685,80.69,62,1,10.76,clear sky
236,Manaus,BR,-3.1019,-60.025,88.3,66,40,5.75,scattered clouds
237,Gat,IL,31.61,34.7642,75.88,71,0,3.62,clear sky
238,Bollnas,SE,61.3482,16.3946,51.39,94,100,3.94,overcast clouds
239,Beitbridge,ZW,-22.2167,30.0,83.89,24,0,9.98,clear sky
240,Severo-Kurilsk,RU,50.6789,156.125,49.96,78,94,6.78,overcast clouds
241,Bata,GQ,1.8639,9.7658,77.5,86,31,6.64,scattered clouds
242,Rawson,AR,-43.3002,-65.1023,66.49,21,48,8.39,scattered clouds
243,Krasnokholm,RU,51.5979,54.1567,40.71,72,49,7.36,scattered clouds
244,Betsiamites,CA,48.9413,-68.646,55.8,65,95,4.23,overcast clouds
245,Saint-Joseph,RE,-21.3667,55.6167,68.36,74,24,12.41,few clouds
246,Ribeira Grande,PT,38.5167,-28.7,73.8,88,75,16.11,broken clouds
247,Asfi,MA,32.2994,-9.2372,70.79,78,8,20.38,clear sky
248,Kaitangata,NZ,-46.2817,169.8464,40.95,89,15,7.29,few clouds
249,Lumeje,AO,-11.55,20.7833,76.93,32,25,1.83,scattered clouds
250,Takoradi,GH,4.8845,-1.7554,76.82,87,59,6.78,broken clouds
251,Luzhou,CN,28.8724,105.4405,67.41,92,0,2.84,light rain
252,Presidente Medici,BR,-11.1753,-61.9014,90.34,43,100,4.29,overcast clouds
253,Broken Hill,AU,-31.95,141.4333,58.71,63,7,21.85,clear sky
254,Bathsheba,BB,13.2167,-59.5167,90.21,58,20,10.36,few clouds
255,Vao,NC,-22.6667,167.4833,68.4,74,34,16.98,scattered clouds
256,Filadelfia,US,39.9523,-75.1638,79.11,62,87,1.99,overcast clouds
257,College,US,64.8569,-147.8028,29.21,81,40,1.14,scattered clouds
258,Oxford,GB,51.7522,-1.256,58.77,96,75,13.8,moderate rain
259,Mar Del Plata,AR,-38.0023,-57.5575,59.0,66,0,8.99,clear sky
260,Monroe,US,43.1501,-77.6831,62.55,66,100,4.0,overcast clouds
261,South Bend,US,41.6834,-86.25,78.12,46,8,6.6,clear sky
262,Laguna,US,38.421,-121.4238,74.41,34,1,8.01,clear sky
263,Brae,GB,60.3964,-1.353,53.51,81,100,17.92,overcast clouds
264,Dubbo,AU,-32.25,148.6167,57.33,82,75,9.22,light rain
265,Korla,CN,41.7597,86.1469,68.23,22,0,4.07,clear sky
266,Mwinilunga,ZM,-11.7358,24.4293,68.61,54,29,3.53,scattered clouds
267,Canton,CN,23.1167,113.25,84.15,67,0,6.96,clear sky
268,Ballina,AU,-28.8667,153.5667,55.36,88,90,0.0,light rain
269,Qostanay,KZ,53.1667,63.5833,38.59,84,99,20.76,overcast clouds
270,Saldanha,ZA,-33.0117,17.9442,59.02,84,0,21.65,clear sky
271,Cooma,AU,-36.2333,149.1333,47.97,100,90,3.44,overcast clouds
272,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,78,6,16.2,clear sky
273,Atambua,ID,-9.1061,124.8925,71.08,86,21,4.38,few clouds
274,Saskylakh,RU,71.9167,114.0833,21.99,92,100,4.59,overcast clouds
275,Kununurra,AU,-15.7667,128.7333,78.78,73,100,8.05,overcast clouds
276,Vaitape,PF,-16.5167,-151.75,79.32,74,22,18.37,few clouds
277,Ola,RU,59.5833,151.2833,32.65,89,100,18.99,light snow
278,Qaqortoq,GL,60.7167,-46.0333,39.51,42,0,6.8,clear sky
279,Genhe,CN,50.7833,121.5167,30.09,97,8,4.36,clear sky
280,Hammerfest,NO,70.6634,23.6821,52.25,66,0,3.44,clear sky
281,Boa Vista,BR,2.8197,-60.6733,94.98,41,40,8.05,scattered clouds
282,Ahipara,NZ,-35.1667,173.1667,51.21,74,35,5.95,scattered clouds
283,Partenit,UA,44.578,34.3446,58.21,63,84,9.51,broken clouds
284,Lamu,KE,-2.2717,40.902,79.02,87,97,11.43,overcast clouds
285,Namibe,AO,-15.1961,12.1522,64.24,86,91,6.64,overcast clouds
286,Lebu,CL,-37.6167,-73.65,55.27,62,100,10.16,overcast clouds
287,Damaturu,NG,11.747,11.9608,83.5,56,100,7.4,overcast clouds
288,Maceio,BR,-9.6658,-35.7353,85.44,61,40,12.66,scattered clouds
289,Loanda,AO,-8.8368,13.2343,73.4,83,20,9.22,few clouds
290,Karratha,AU,-20.7377,116.8463,70.14,53,1,11.03,light rain
291,Mahbubnagar,IN,16.7333,77.9833,70.3,94,100,6.82,overcast clouds
292,Colombo,LK,6.9319,79.8478,80.55,85,100,9.42,overcast clouds
293,Coripata,BO,-16.3,-67.6,90.41,62,99,4.32,overcast clouds
294,Miles City,US,46.4083,-105.8406,90.16,10,92,8.7,overcast clouds
295,Geraldton,AU,-28.7667,114.6,57.61,94,90,6.91,overcast clouds
296,Nuevo Progreso,MX,23.1667,-97.95,89.89,52,11,7.0,few clouds
297,Haines Junction,CA,60.7522,-137.5108,30.15,74,100,1.14,overcast clouds
298,Krasnoselkup,RU,65.7,82.4667,31.3,73,80,6.02,broken clouds
299,Arlit,NE,18.7369,7.3853,96.66,13,93,12.73,overcast clouds
300,Luderitz,NA,-26.6481,15.1594,56.64,75,57,21.61,broken clouds
301,Eyl,SO,7.9803,49.8164,78.64,82,22,15.19,few clouds
302,Salalah,OM,17.0151,54.0924,80.96,81,58,2.68,broken clouds
303,Rayagada,IN,19.1667,83.4167,74.43,99,98,2.48,overcast clouds
304,Tezu,IN,27.9167,96.1667,75.06,83,84,3.42,broken clouds
305,Wilmington,US,34.2257,-77.9447,85.98,52,15,3.0,few clouds
306,Flinders,AU,-34.5833,150.8552,56.21,85,100,1.01,light rain
307,Souillac,MU,-20.5167,57.5167,72.36,64,75,12.66,broken clouds
308,Melville,US,40.7934,-73.4151,73.06,85,100,8.48,overcast clouds
309,Troitskoye,RU,52.9821,84.6757,37.22,74,98,7.72,overcast clouds
310,Fortuna,US,40.5982,-124.1573,63.93,69,1,1.01,clear sky
311,Marsaxlokk,MT,35.8419,14.5431,79.09,83,20,10.36,few clouds
312,Sola,VU,-13.8833,167.55,74.07,100,75,0.0,broken clouds
313,Mudgee,AU,-32.5943,149.5871,56.79,100,90,4.61,overcast clouds
314,Nong Khai,TH,17.9167,103.0833,78.3,93,70,2.98,broken clouds
315,Barabinsk,RU,55.3571,78.357,35.33,79,100,8.95,overcast clouds
316,Guaira,BR,-20.3183,-48.3106,96.96,17,11,2.73,few clouds
317,Termoli,IT,41.9888,14.9895,70.57,74,5,8.41,clear sky
318,Hamilton,US,39.1834,-84.5333,85.14,60,1,3.0,clear sky
319,Ovalle,CL,-30.5983,-71.2003,88.21,14,14,10.09,few clouds
320,Ankara,TR,39.9199,32.8543,63.21,54,0,3.29,clear sky
321,Tunduma,TZ,-9.3,32.7667,65.55,48,45,5.08,scattered clouds
322,Vakhrushev,RU,48.9833,142.9667,58.35,93,100,6.89,overcast clouds
323,Winsum,NL,53.33,6.5208,57.97,54,28,9.17,scattered clouds
324,Riachao Das Neves,BR,-11.7461,-44.91,95.97,22,26,5.03,scattered clouds
325,Palana,RU,59.1167,159.9667,35.55,96,100,8.19,moderate rain
326,Cabo San Lucas,MX,22.8909,-109.9124,94.6,66,0,1.01,clear sky
327,Rizhao,CN,35.4275,119.4553,64.83,95,100,6.8,light rain
328,Watsa,CD,3.0372,29.5355,64.4,97,77,2.71,light rain
329,Sturgeon Falls,CA,46.3646,-79.9326,60.89,45,10,8.46,clear sky
330,Bima,ID,-8.4667,118.7167,74.91,95,22,3.89,few clouds
331,Amsterdam,NL,52.374,4.8897,60.91,74,0,4.0,clear sky
332,Kibre Mengist,ET,5.8833,38.9833,62.89,80,100,1.45,overcast clouds
333,Haapiti,PF,-17.5667,-149.8667,82.13,75,92,16.51,overcast clouds
334,Olga,RU,43.7444,135.2892,58.6,97,100,2.06,overcast clouds
335,Kalmunai,LK,7.4167,81.8167,82.15,63,100,7.09,overcast clouds
336,Kiunga,PG,-6.1219,141.2906,73.33,100,100,1.66,overcast clouds
337,Varde,DK,55.6211,8.4807,58.33,92,20,4.61,few clouds
338,Bengbu,CN,32.9408,117.3608,70.3,95,99,7.07,light rain
339,Rio Gallegos,AR,-51.6226,-69.2181,51.85,28,0,17.27,clear sky
340,Sinnamary,GF,5.3833,-52.95,84.47,68,99,8.5,overcast clouds
341,Talnakh,RU,69.4865,88.3972,32.45,76,100,2.28,overcast clouds
342,Nanchang,CN,28.6833,115.8833,80.15,66,26,2.39,light rain
343,Puerto Carreno,CO,6.189,-67.4859,86.34,63,94,2.08,overcast clouds
344,Leningradskiy,RU,69.3833,178.4167,23.63,96,100,9.93,light snow
345,Yenagoa,NG,4.9247,6.2642,76.75,88,10,4.72,clear sky
346,Colon,PA,9.3592,-79.9014,86.11,80,100,5.99,overcast clouds
